Path1_1(x)	Path1_1(y)	Path1_2(x)	Path1_2(y)	Path1_3(x)	Path1_3(y)	Path1_4(x)	Path1_4(y)	Path1_5(x)	Path1_5(y)	Path1_6(x)	Path1_6(y)	Path1_7(x)	Path1_7(y)	Path1_8(x)	Path1_8(y)	Path1_9(x)	Path1_9(y)	Path1_10(x)	Path1_10(y)	Path1_11(x)	Path1_11(y)	Path1_12(x)	Path1_12(y)	Path1_13(x)	Path1_13(y)	Path1_14(x)	Path1_14(y)	Path1_15(x)	Path1_15(y)	Path1_16(x)	Path1_16(y)	Path1_17(x)	Path1_17(y)	Path1_18(x)	Path1_18(y)	Path1_19(x)	Path1_19(y)	Path1_20(x)	Path1_20(y)
10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30
10	29	10	29	10	29	11	30	10	29	10	29	11	30	10	29	10	29	10	29	10	29	10	29	10	29	10	29	10	29	10	29	10	29	10	29	10	29	10	29
10	28	10	28	10	28	12	30	10	28	10	28	12	30	10	28	10	28	10	28	10	28	10	28	10	28	10	28	10	28	10	28	10	28	10	28	10	28	10	28
10	27	10	27	10	27	12	29	10	27	10	27	12	29	10	27	10	27	10	27	10	27	10	27	10	27	10	27	10	27	10	27	10	27	10	27	10	27	10	27
10	26	10	26	10	26	12	28	10	26	10	26	12	28	10	26	10	26	10	26	10	26	10	26	10	26	10	26	10	26	10	26	10	26	10	26	10	26	10	26
10	25	10	25	10	25	12	27	10	25	10	25	12	27	10	25	10	25	10	25	10	25	10	25	10	25	10	25	10	25	10	25	10	25	10	25	10	25	10	25
9	25	9	25	9	25	12	26	10	24	10	24	12	26	10	24	9	25	9	25	9	25	9	25	9	25	9	25	9	25	9	25	9	25	9	25	9	25	9	25
8	25	8	25	8	25	12	25	10	23	10	23	12	25	10	23	8	25	8	25	8	25	8	25	8	25	8	25	8	25	8	25	8	25	8	25	8	25	8	25
7	25	7	25	7	25	12	24	10	22	10	22	12	24	10	22	7	25	7	25	7	25	7	25	7	25	7	25	7	25	7	25	7	25	7	25	7	25	7	25
6	25	6	25	6	25	12	23	10	21	10	21	12	23	10	21	6	25	6	25	6	25	6	25	6	25	6	25	6	25	6	25	6	25	6	25	6	25	6	25
5	25	5	25	5	25	12	22	10	20	10	20	12	22	10	20	5	25	5	25	5	25	5	25	5	25	5	25	5	25	5	25	5	25	5	25	5	25	5	25
5	24	5	24	5	24	12	21	10	19	10	19	12	21	10	19	5	24	5	24	5	24	5	24	5	24	5	24	5	24	5	24	5	24	5	24	5	24	5	24
5	23	5	23	5	23	12	20	10	18	10	18	12	20	10	18	5	23	5	23	5	23	5	23	5	23	5	23	5	23	5	23	5	23	5	23	5	23	5	23
