Path2_1(x)	Path2_1(y)	Path2_2(x)	Path2_2(y)	Path2_3(x)	Path2_3(y)	Path2_4(x)	Path2_4(y)
5	35	5	35	5	35	5	35
5	34	5	34	5	34	5	34
5	33	5	33	5	33	5	33
5	32	5	32	5	32	5	32
5	31	5	31	5	31	5	31
5	30	5	30	5	30	5	30
5	29	5	29	5	29	5	29
5	28	5	28	5	28	5	28
5	27	5	27	5	27	5	27
5	26	5	26	5	26	5	26
5	25	5	25	5	25	5	25
5	24	5	24	5	24	5	24
5	23	5	23	5	23	5	23
5	22	5	22	5	22	5	22
5	21	5	21	5	21	5	21
5	20	5	20	5	20	5	20
5	19	5	19	5	19	5	19
5	18	5	18	5	18	5	18
5	17	6	18	5	17	5	17
5	16	7	18	5	16	5	16
5	15	8	18	5	15	5	15
5	14	9	18	5	14	5	14
5	13	10	18	5	13	5	13
5	12	11	18	5	12	5	12
6	12	12	18	6	12	6	12
7	12	13	18	7	12	7	12
8	12	14	18	8	12	8	12
9	12	15	18	9	12	9	12
10	12	15	17	10	12	10	12
10	11	15	16	10	11	11	12
10	10	15	15	10	10	12	12
11	10	16	15	11	10	13	12
12	10	17	15	12	10	14	12
13	10	17	14	13	10	15	12
14	10	17	13	14	10	16	12
15	10	17	12	15	10	17	12
16	10	16	12	16	10	17	13
17	10	17	12	17	10	17	14
17	11	17	11	17	11	17	15
17	12	17	10	17	12	16	15
16	12	16	10	17	13	17	15
17	12	15	10	17	14	17	14
17	13	14	10	17	15	17	13
17	14	13	10	16	15	17	12
17	15	12	10	17	15	17	11
16	15	11	10	17	14	17	10
15	15	10	10	17	13	16	10
15	16	10	11	17	12	15	10
15	17	10	12	16	12	14	10
15	18	9	12	15	12	13	10
14	18	8	12	14	12	12	10
13	18	7	12	13	12	11	10
12	18	6	12	12	12	10	10
11	18	5	12	11	12	10	11
10	18	5	13	10	12	10	12
9	18	5	14	9	12	9	12
8	18	5	15	8	12	8	12
7	18	5	16	7	12	7	12
6	18	5	17	6	12	6	12
5	18	5	18	5	12	5	12
5	19	5	19	5	13	5	13
5	20	5	20	5	14	5	14
5	21	5	21	5	15	5	15
5	22	5	22	5	16	5	16
5	23	5	23	5	17	5	17
5	24	5	24	5	18	5	18
5	25	5	25	5	19	5	19
5	26	5	26	5	20	5	20
5	27	5	27	5	21	5	21
5	28	5	28	5	22	5	22
5	29	5	29	5	23	5	23
5	30	5	30	5	24	5	24
5	31	5	31	5	25	5	25
5	32	5	32	5	26	5	26
5	33	5	33	5	27	5	27
5	34	5	34	5	28	5	28
5	35	5	35	5	29	5	29
0	0	0	0	5	30	5	30
0	0	0	0	5	31	5	31
0	0	0	0	5	32	5	32
0	0	0	0	5	33	5	33
0	0	0	0	5	34	5	34
0	0	0	0	5	35	5	35
