Path3_1(x)	Path3_1(y)	Path3_2(x)	Path3_2(y)	Path3_3(x)	Path3_3(y)	Path3_4(x)	Path3_4(y)	Path3_5(x)	Path3_5(y)	Path3_6(x)	Path3_6(y)	Path3_7(x)	Path3_7(y)	Path3_8(x)	Path3_8(y)	Path3_9(x)	Path3_9(y)	Path3_10(x)	Path3_10(y)	Path3_11(x)	Path3_11(y)	Path3_12(x)	Path3_12(y)	Path3_13(x)	Path3_13(y)	Path3_14(x)	Path3_14(y)	Path3_15(x)	Path3_15(y)	Path3_16(x)	Path3_16(y)	Path3_17(x)	Path3_17(y)	Path3_18(x)	Path3_18(y)	Path3_19(x)	Path3_19(y)	Path3_20(x)	Path3_20(y)	Path3_21(x)	Path3_21(y)
10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40
11	40	11	40	11	40	11	40	11	40	10	39	11	40	10	39	11	40	11	40	11	40	11	40	11	40	10	39	11	40	10	39	11	40	10	39	10	39	10	39	10	39
12	40	12	40	12	40	12	40	12	40	10	38	12	40	10	38	12	40	12	40	12	40	12	40	12	40	10	38	12	40	10	38	12	40	10	38	10	38	10	38	10	38
13	40	13	40	13	40	13	40	13	40	10	37	13	40	10	37	13	40	13	40	13	40	13	40	13	40	10	37	13	40	10	37	13	40	10	37	10	37	10	37	10	37
14	40	14	40	14	40	14	40	14	40	11	37	14	40	11	37	14	40	14	40	14	40	14	40	14	40	11	37	14	40	11	37	14	40	11	37	9	37	9	37	9	37
15	40	15	40	15	40	15	40	15	40	12	37	15	40	12	37	15	40	15	40	15	40	15	40	15	40	12	37	15	40	12	37	15	40	12	37	8	37	8	37	8	37
16	40	16	40	16	40	16	40	16	40	13	37	16	40	13	37	16	40	16	40	16	40	16	40	16	40	13	37	16	40	13	37	16	40	13	37	7	37	7	37	7	37
17	40	17	40	17	40	17	40	17	40	14	37	17	40	14	37	17	40	17	40	17	40	17	40	17	40	14	37	17	40	14	37	17	40	14	37	6	37	6	37	6	37
18	40	18	40	18	40	18	40	18	40	15	37	18	40	15	37	18	40	18	40	18	40	18	40	18	40	15	37	18	40	15	37	18	40	15	37	5	37	5	37	5	37
19	40	19	40	19	40	19	40	19	40	16	37	19	40	16	37	19	40	19	40	19	40	19	40	19	40	16	37	19	40	16	37	19	40	16	37	5	38	5	38	5	38
20	40	20	40	20	40	20	40	20	40	17	37	20	40	17	37	20	40	20	40	20	40	20	40	20	40	17	37	20	40	17	37	20	40	17	37	5	39	5	39	5	39
21	40	21	40	21	40	21	40	21	40	18	37	21	40	18	37	21	40	21	40	21	40	21	40	21	40	18	37	21	40	18	37	21	40	18	37	5	40	5	40	5	40
22	40	22	40	22	40	22	40	22	40	19	37	22	40	19	37	22	40	22	40	22	40	22	40	22	40	19	37	22	40	19	37	22	40	19	37	5	41	5	41	5	41
