Path8_1(x)	Path8_1(y)	Path8_2(x)	Path8_2(y)	Path8_3(x)	Path8_3(y)	Path8_4(x)	Path8_4(y)	Path8_5(x)	Path8_5(y)	Path8_6(x)	Path8_6(y)	Path8_7(x)	Path8_7(y)	Path8_8(x)	Path8_8(y)	Path8_9(x)	Path8_9(y)	Path8_10(x)	Path8_10(y)	Path8_11(x)	Path8_11(y)	Path8_12(x)	Path8_12(y)	Path8_13(x)	Path8_13(y)	Path8_14(x)	Path8_14(y)	Path8_15(x)	Path8_15(y)	Path8_16(x)	Path8_16(y)	Path8_17(x)	Path8_17(y)	Path8_18(x)	Path8_18(y)	Path8_19(x)	Path8_19(y)	Path8_20(x)	Path8_20(y)	Path8_21(x)	Path8_21(y)	Path8_22(x)	Path8_22(y)	Path8_23(x)	Path8_23(y)	Path8_24(x)	Path8_24(y)	Path8_25(x)	Path8_25(y)	Path8_26(x)	Path8_26(y)	Path8_27(x)	Path8_27(y)	Path8_28(x)	Path8_28(y)	Path8_29(x)	Path8_29(y)	Path8_30(x)	Path8_30(y)
10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40
10	39	10	39	10	39	10	39	10	39	10	39	10	39	10	39	10	39	10	39	10	39	10	39	10	39	11	40	10	39	11	40	10	39	11	40	10	39	11	40	10	39	11	40	10	39	11	40	10	39	10	39	10	39	10	39	10	39	10	39
10	38	10	38	10	38	10	38	10	38	10	38	10	38	10	38	10	38	10	38	10	38	10	38	10	38	12	40	10	38	12	40	10	38	12	40	10	38	12	40	10	38	12	40	10	38	12	40	10	38	10	38	10	38	10	38	10	38	10	38
10	37	10	37	10	37	10	37	10	37	10	37	10	37	10	37	10	37	10	37	10	37	10	37	10	37	13	40	10	37	13	40	10	37	13	40	10	37	13	40	10	37	13	40	10	37	13	40	10	37	10	37	10	37	10	37	10	37	10	37
10	36	10	36	10	36	10	36	10	36	10	36	10	36	10	36	10	36	10	36	10	36	10	36	11	37	14	40	11	37	14	40	11	37	14	40	11	37	14	40	11	37	14	40	11	37	14	40	10	36	10	36	10	36	10	36	10	36	10	36
10	35	10	35	10	35	10	35	10	35	10	35	10	35	10	35	10	35	10	35	10	35	10	35	12	37	15	40	12	37	15	40	12	37	15	40	12	37	15	40	12	37	15	40	12	37	15	40	10	35	10	35	10	35	10	35	10	35	10	35
10	34	10	34	10	34	10	34	10	34	10	34	10	34	10	34	10	34	10	34	10	34	10	34	13	37	16	40	13	37	16	40	13	37	16	40	13	37	16	40	13	37	16	40	13	37	16	40	10	34	10	34	10	34	10	34	10	34	10	34
10	33	10	33	10	33	10	33	10	33	10	33	10	33	10	33	10	33	10	33	10	33	10	33	14	37	17	40	14	37	17	40	14	37	17	40	14	37	17	40	14	37	17	40	14	37	17	40	10	33	10	33	10	33	10	33	10	33	10	33
10	32	10	32	10	32	10	32	10	32	10	32	10	32	10	32	10	32	10	32	10	32	10	32	15	37	18	40	15	37	18	40	15	37	18	40	15	37	18	40	15	37	18	40	15	37	18	40	10	32	10	32	10	32	10	32	10	32	10	32
10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	16	37	19	40	16	37	19	40	16	37	19	40	16	37	19	40	16	37	19	40	16	37	19	40	10	31	10	31	10	31	10	31	10	31	10	31
