Path11_1(x)	Path11_1(y)	Path11_2(x)	Path11_2(y)	Path11_3(x)	Path11_3(y)	Path11_4(x)	Path11_4(y)	Path11_5(x)	Path11_5(y)	Path11_6(x)	Path11_6(y)	Path11_7(x)	Path11_7(y)	Path11_8(x)	Path11_8(y)	Path11_9(x)	Path11_9(y)	Path11_10(x)	Path11_10(y)	Path11_11(x)	Path11_11(y)	Path11_12(x)	Path11_12(y)	Path11_13(x)	Path11_13(y)	Path11_14(x)	Path11_14(y)	Path11_15(x)	Path11_15(y)	Path11_16(x)	Path11_16(y)
10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30
10	29	11	30	10	29	11	30	10	29	10	29	10	29	10	29	10	29	11	30	10	29	11	30	10	29	10	29	10	29	10	29
10	28	12	30	10	28	12	30	10	28	10	28	10	28	10	28	10	28	12	30	10	28	12	30	10	28	10	28	10	28	10	28
10	27	12	29	10	27	12	29	10	27	10	27	10	27	10	27	10	27	12	29	10	27	12	29	10	27	10	27	10	27	10	27
10	26	12	28	10	26	12	28	10	26	10	26	10	26	10	26	10	26	12	28	10	26	12	28	10	26	10	26	10	26	10	26
10	25	12	27	10	25	12	27	10	25	10	25	10	25	10	25	10	25	12	27	10	25	12	27	10	25	10	25	10	25	10	25
10	24	12	26	10	24	12	26	10	24	10	24	10	24	10	24	10	24	12	26	10	24	12	26	9	25	9	25	9	25	9	25
10	23	12	25	10	23	12	25	10	23	10	23	10	23	10	23	10	23	12	25	10	23	12	25	8	25	8	25	8	25	8	25
10	22	12	24	10	22	12	24	10	22	10	22	10	22	10	22	10	22	12	24	10	22	12	24	7	25	7	25	7	25	7	25
10	21	12	23	10	21	12	23	10	21	10	21	10	21	10	21	10	21	12	23	10	21	12	23	6	25	6	25	6	25	6	25
10	20	12	22	10	20	12	22	10	20	10	20	10	20	10	20	10	20	12	22	10	20	12	22	5	25	5	25	5	25	5	25
10	19	12	21	10	19	12	21	10	19	10	19	10	19	10	19	10	19	12	21	10	19	12	21	5	24	5	24	5	24	5	24
10	18	12	20	10	18	12	20	10	18	10	18	10	18	10	18	10	18	12	20	10	18	12	20	5	23	5	23	5	23	5	23
10	17	12	19	10	17	12	19	10	17	10	17	10	17	10	17	10	17	12	19	10	17	12	19	5	22	5	22	5	22	5	22
11	17	12	18	11	17	12	18	10	16	10	16	10	16	10	16	11	17	12	18	11	17	12	18	5	21	5	21	5	21	5	21
12	17	12	17	12	17	12	17	10	15	10	15	10	15	10	15	12	17	12	17	12	17	12	17	5	20	5	20	5	20	5	20
