Path12_1(x)	Path12_1(y)	Path12_2(x)	Path12_2(y)	Path12_3(x)	Path12_3(y)	Path12_4(x)	Path12_4(y)	Path12_5(x)	Path12_5(y)	Path12_6(x)	Path12_6(y)	Path12_7(x)	Path12_7(y)	Path12_8(x)	Path12_8(y)	Path12_9(x)	Path12_9(y)	Path12_10(x)	Path12_10(y)	Path12_11(x)	Path12_11(y)	Path12_12(x)	Path12_12(y)	Path12_13(x)	Path12_13(y)	Path12_14(x)	Path12_14(y)	Path12_15(x)	Path12_15(y)	Path12_16(x)	Path12_16(y)	Path12_17(x)	Path12_17(y)	Path12_18(x)	Path12_18(y)	Path12_19(x)	Path12_19(y)	Path12_20(x)	Path12_20(y)	Path12_21(x)	Path12_21(y)	Path12_22(x)	Path12_22(y)	Path12_23(x)	Path12_23(y)	Path12_24(x)	Path12_24(y)	Path12_25(x)	Path12_25(y)	Path12_26(x)	Path12_26(y)	Path12_27(x)	Path12_27(y)	Path12_28(x)	Path12_28(y)	Path12_29(x)	Path12_29(y)	Path12_30(x)	Path12_30(y)	Path12_31(x)	Path12_31(y)	Path12_32(x)	Path12_32(y)	Path12_33(x)	Path12_33(y)	Path12_34(x)	Path12_34(y)	Path12_35(x)	Path12_35(y)	Path12_36(x)	Path12_36(y)	Path12_37(x)	Path12_37(y)	Path12_38(x)	Path12_38(y)	Path12_39(x)	Path12_39(y)	Path12_40(x)	Path12_40(y)
10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40
11	40	11	40	11	40	11	40	9	40	9	40	9	40	9	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	9	40	9	40	9	40	9	40	9	40	9	40	9	40	9	40	9	40	9	40	9	40	9	40	11	40	11	40	11	40	11	40	9	40	9	40	9	40	9	40
12	40	12	40	12	40	12	40	8	40	8	40	8	40	8	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	8	40	8	40	8	40	8	40	8	40	8	40	8	40	8	40	8	40	8	40	8	40	8	40	12	40	12	40	12	40	12	40	8	40	8	40	8	40	8	40
13	40	13	40	13	40	13	40	7	40	7	40	7	40	7	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	7	40	7	40	7	40	7	40	7	40	7	40	7	40	7	40	7	40	7	40	7	40	7	40	13	40	13	40	13	40	13	40	7	40	7	40	7	40	7	40
14	40	14	40	14	40	14	40	6	40	6	40	6	40	6	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	6	40	6	40	6	40	6	40	6	40	6	40	6	40	6	40	6	40	6	40	6	40	6	40	14	40	14	40	14	40	14	40	6	40	6	40	6	40	6	40
15	40	15	40	15	40	15	40	5	40	5	40	5	40	5	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	5	40	5	40	5	40	5	40	5	40	5	40	5	40	5	40	5	40	5	40	5	40	5	40	15	40	15	40	15	40	15	40	5	40	5	40	5	40	5	40
16	40	16	40	16	40	16	40	5	39	5	39	5	39	5	39	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	5	39	5	39	5	39	5	39	5	39	5	39	5	39	5	39	5	39	5	39	5	39	5	39	16	40	16	40	16	40	16	40	5	39	5	39	5	39	5	39
17	40	17	40	17	40	17	40	5	38	5	38	5	38	5	38	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	5	38	5	38	5	38	5	38	5	38	5	38	5	38	5	38	5	38	5	38	5	38	5	38	17	40	17	40	17	40	17	40	5	38	5	38	5	38	5	38
17	41	17	41	17	41	17	41	5	37	5	37	5	37	5	37	17	41	17	41	17	41	17	41	17	41	17	41	17	39	18	40	17	39	17	39	18	40	17	39	5	37	5	37	5	37	5	37	5	37	5	37	5	37	5	37	5	37	5	37	5	37	5	37	17	41	17	41	17	41	17	41	5	37	5	37	5	37	5	37
17	42	17	42	17	42	17	42	5	36	5	36	5	36	5	36	17	42	17	42	17	42	17	42	17	42	17	42	17	38	19	40	17	38	17	38	19	40	17	38	5	36	5	36	5	36	5	36	5	36	5	36	5	36	5	36	5	36	5	36	5	36	5	36	17	42	17	42	17	42	17	42	5	36	5	36	5	36	5	36
17	43	18	42	17	43	18	42	5	35	5	35	5	35	5	35	17	43	18	42	17	43	18	42	17	43	18	42	17	37	20	40	17	37	17	37	20	40	17	37	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	17	43	18	42	18	42	18	42	5	35	5	35	5	35	5	35
17	44	19	42	17	44	19	42	5	34	5	34	5	34	5	34	17	44	19	42	17	44	19	42	17	44	19	42	17	36	21	40	17	36	17	36	21	40	17	36	5	36	5	36	5	36	5	36	5	36	5	36	5	36	5	36	5	36	5	36	5	36	5	36	17	44	19	42	19	42	19	42	5	36	5	36	5	36	5	36
17	45	20	42	17	45	20	42	5	33	5	33	5	33	5	33	17	45	20	42	17	45	20	42	17	45	20	42	17	35	22	40	17	35	17	35	22	40	17	35	5	37	5	37	5	37	5	37	5	37	5	37	5	37	5	37	5	37	5	37	5	37	5	37	17	45	20	42	20	42	20	42	5	37	5	37	5	37	5	37
18	45	21	42	18	45	21	42	5	32	5	32	5	32	5	32	18	45	21	42	18	45	21	42	18	45	21	42	18	35	23	40	18	35	18	35	23	40	18	35	5	38	5	38	5	38	5	38	5	38	5	38	5	38	5	38	5	38	5	38	5	38	5	38	18	45	21	42	21	42	21	42	5	38	5	38	5	38	5	38
19	45	22	42	19	45	22	42	5	31	5	31	5	31	5	31	19	45	22	42	19	45	22	42	19	45	22	42	19	35	24	40	19	35	19	35	24	40	19	35	5	39	5	39	5	39	5	39	5	39	5	39	5	39	5	39	5	39	5	39	5	39	5	39	19	45	22	42	22	42	22	42	5	39	5	39	5	39	5	39
20	45	23	42	20	45	23	42	5	30	5	30	5	30	5	30	20	45	23	42	20	45	23	42	20	45	23	42	20	35	25	40	20	35	20	35	25	40	20	35	5	40	5	40	5	40	5	40	5	40	5	40	5	40	5	40	5	40	5	40	5	40	5	40	20	45	23	42	23	42	23	42	5	40	5	40	5	40	5	40
21	45	24	42	21	45	24	42	5	29	5	29	5	29	5	29	21	45	24	42	21	45	24	42	21	45	24	42	21	35	26	40	21	35	21	35	26	40	21	35	6	40	6	40	6	40	6	40	6	40	6	40	6	40	6	40	6	40	6	40	6	40	6	40	21	45	24	42	24	42	24	42	6	40	6	40	6	40	6	40
22	45	25	42	22	45	25	42	5	28	5	28	5	28	5	28	22	45	25	42	22	45	25	42	22	45	25	42	22	35	27	40	22	35	22	35	27	40	22	35	7	40	7	40	7	40	7	40	7	40	7	40	7	40	7	40	7	40	7	40	7	40	7	40	22	45	25	42	25	42	25	42	7	40	7	40	7	40	7	40
23	45	26	42	23	45	26	42	5	27	5	27	5	27	5	27	23	45	26	42	23	45	26	42	23	45	26	42	23	35	28	40	23	35	23	35	28	40	23	35	8	40	8	40	8	40	8	40	8	40	8	40	8	40	8	40	8	40	8	40	8	40	8	40	23	45	26	42	26	42	26	42	8	40	8	40	8	40	8	40
24	45	27	42	24	45	27	42	6	27	6	27	6	27	6	27	24	45	27	42	24	45	27	42	24	45	27	42	23	34	29	40	24	35	23	34	29	40	24	35	9	40	9	40	9	40	9	40	9	40	9	40	9	40	9	40	9	40	9	40	9	40	9	40	24	45	27	42	27	42	27	42	9	40	9	40	9	40	9	40
25	45	28	42	25	45	28	42	7	27	7	27	7	27	7	27	25	45	28	42	25	45	28	42	25	45	28	42	23	33	30	40	25	35	23	33	30	40	25	35	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	25	45	28	42	28	42	28	42	10	40	10	40	10	40	10	40
26	45	29	42	26	45	29	42	8	27	8	27	8	27	8	27	26	45	29	42	26	45	29	42	26	45	29	42	23	32	31	40	26	35	23	32	31	40	26	35	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	26	45	29	42	29	42	29	42	11	40	11	40	11	40	11	40
27	45	30	42	27	45	30	42	9	27	9	27	9	27	9	27	27	45	30	42	27	45	30	42	27	45	30	42	23	31	32	40	27	35	23	31	32	40	27	35	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	27	45	30	42	30	42	30	42	12	40	12	40	12	40	12	40
28	45	31	42	28	45	31	42	10	27	10	27	10	27	10	27	28	45	31	42	28	45	31	42	28	45	31	42	23	30	32	39	28	35	23	30	32	39	28	35	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	28	45	31	42	31	42	31	42	13	40	13	40	13	40	13	40
29	45	32	42	29	45	32	42	11	27	11	27	11	27	11	27	29	45	32	42	29	45	32	42	29	45	32	42	24	30	32	38	29	35	24	30	32	38	29	35	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	29	45	32	42	32	42	32	42	14	40	14	40	14	40	14	40
30	45	32	43	30	45	32	43	12	27	12	27	12	27	12	27	30	45	32	43	30	45	32	43	30	45	32	43	25	30	32	37	30	35	25	30	32	37	30	35	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	30	45	32	43	32	41	32	41	15	40	15	40	15	40	15	40
31	45	32	44	31	45	32	44	13	27	13	27	13	27	13	27	31	45	32	44	31	45	32	44	31	45	32	44	26	30	32	36	31	35	26	30	32	36	31	35	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	31	45	32	44	32	40	32	40	16	40	16	40	16	40	16	40
32	45	32	45	32	45	32	45	14	27	14	27	14	27	14	27	32	45	32	45	32	45	32	45	32	45	32	45	27	30	32	35	32	35	27	30	32	35	32	35	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	32	45	32	45	32	39	32	39	17	40	17	40	17	40	17	40
33	45	33	45	33	45	33	45	15	27	15	27	15	27	15	27	33	45	33	45	33	45	33	45	33	45	33	45	28	30	32	34	32	34	28	30	32	34	32	34	17	41	17	41	17	41	17	41	17	41	17	41	17	39	18	40	17	39	17	39	18	40	17	39	33	45	33	45	32	38	32	38	17	41	17	41	17	41	17	41
34	45	34	45	34	45	34	45	16	27	16	27	16	27	16	27	34	45	34	45	34	45	34	45	34	45	34	45	29	30	32	33	32	33	29	30	32	33	32	33	17	42	17	42	17	42	17	42	17	42	17	42	17	38	19	40	17	38	17	38	19	40	17	38	34	45	34	45	32	37	32	37	17	42	17	42	17	42	17	42
35	45	35	45	35	45	35	45	17	27	17	27	17	27	17	27	35	45	35	45	35	45	35	45	35	45	35	45	30	30	32	32	32	32	30	30	32	32	32	32	17	43	18	42	17	43	18	42	17	43	18	42	17	37	20	40	17	37	17	37	20	40	17	37	35	45	35	45	32	36	32	36	17	43	18	42	18	42	18	42
36	45	36	45	36	45	36	45	18	27	18	27	18	27	18	27	36	45	36	45	36	45	36	45	36	45	36	45	30	29	32	31	32	31	30	29	32	31	32	31	17	44	19	42	17	44	19	42	17	44	19	42	17	36	21	40	17	36	17	36	21	40	17	36	36	45	36	45	32	35	32	35	17	44	19	42	19	42	19	42
37	45	37	45	37	45	37	45	19	27	19	27	19	27	19	27	37	45	37	45	37	45	37	45	37	45	37	45	30	28	32	30	32	30	30	28	32	30	32	30	17	45	20	42	17	45	20	42	17	45	20	42	17	35	22	40	17	35	17	35	22	40	17	35	37	45	37	45	32	34	32	34	17	45	20	42	20	42	20	42
38	45	38	45	38	45	38	45	20	27	20	27	20	27	20	27	38	45	38	45	38	45	38	45	38	45	38	45	30	27	32	29	32	29	30	27	32	29	32	29	18	45	21	42	18	45	21	42	18	45	21	42	18	35	23	40	18	35	18	35	23	40	18	35	38	45	38	45	32	33	32	33	18	45	21	42	21	42	21	42
39	45	39	45	39	45	39	45	20	28	21	27	20	28	21	27	39	45	39	45	39	45	39	45	39	45	39	45	31	27	32	28	32	28	31	27	32	28	32	28	19	45	22	42	19	45	22	42	19	45	22	42	19	35	24	40	19	35	19	35	24	40	19	35	39	45	39	45	32	32	32	32	19	45	22	42	22	42	22	42
40	45	40	45	40	45	40	45	20	29	22	27	20	29	22	27	40	45	40	45	40	45	40	45	40	45	40	45	32	27	32	27	32	27	32	27	32	27	32	27	20	45	23	42	20	45	23	42	20	45	23	42	20	35	25	40	20	35	20	35	25	40	20	35	40	45	40	45	32	31	32	31	20	45	23	42	23	42	23	42
41	45	41	45	41	45	41	45	20	30	23	27	20	30	23	27	41	45	41	45	41	45	41	45	41	45	41	45	33	27	33	27	33	27	33	27	33	27	33	27	21	45	24	42	21	45	24	42	21	45	24	42	21	35	26	40	21	35	21	35	26	40	21	35	41	45	41	45	32	30	32	30	21	45	24	42	24	42	24	42
42	45	42	45	42	45	42	45	21	30	23	28	21	30	23	28	42	45	42	45	42	45	42	45	42	45	42	45	34	27	34	27	34	27	34	27	34	27	34	27	22	45	25	42	22	45	25	42	22	45	25	42	22	35	27	40	22	35	22	35	27	40	22	35	42	45	42	45	32	29	32	29	22	45	25	42	25	42	25	42
43	45	43	45	43	45	43	45	22	30	23	29	22	30	23	29	43	45	43	45	43	45	43	45	43	45	43	45	35	27	35	27	35	27	35	27	35	27	35	27	23	45	26	42	23	45	26	42	23	45	26	42	23	35	28	40	23	35	23	35	28	40	23	35	43	45	43	45	32	28	32	28	23	45	26	42	26	42	26	42
44	45	44	45	44	45	44	45	23	30	23	30	23	30	23	30	44	45	44	45	44	45	44	45	44	45	44	45	36	27	36	27	36	27	36	27	36	27	36	27	24	45	27	42	24	45	27	42	24	45	27	42	23	34	29	40	24	35	23	34	29	40	24	35	44	45	44	45	32	27	32	27	24	45	27	42	27	42	27	42
45	45	45	45	45	45	45	45	24	30	24	30	24	30	24	30	45	45	45	45	45	45	45	45	45	45	45	45	37	27	37	27	37	27	37	27	37	27	37	27	25	45	28	42	25	45	28	42	25	45	28	42	23	33	30	40	25	35	23	33	30	40	25	35	45	45	45	45	33	27	33	27	25	45	28	42	28	42	28	42
45	44	45	44	45	44	45	44	25	30	25	30	25	30	25	30	45	44	45	44	45	44	45	44	45	44	45	44	38	27	38	27	38	27	38	27	38	27	38	27	26	45	29	42	26	45	29	42	26	45	29	42	23	32	31	40	26	35	23	32	31	40	26	35	45	44	45	44	34	27	34	27	26	45	29	42	29	42	29	42
45	43	45	43	45	43	45	43	26	30	26	30	26	30	26	30	45	43	45	43	45	43	45	43	45	43	45	43	39	27	39	27	39	27	39	27	39	27	39	27	27	45	30	42	27	45	30	42	27	45	30	42	23	31	32	40	27	35	23	31	32	40	27	35	45	43	45	43	35	27	35	27	27	45	30	42	30	42	30	42
45	42	45	42	45	42	45	42	27	30	27	30	27	30	27	30	45	42	45	42	45	42	45	42	45	42	45	42	40	27	40	27	40	27	40	27	40	27	40	27	28	45	31	42	28	45	31	42	28	45	31	42	23	30	32	39	28	35	23	30	32	39	28	35	45	42	45	42	36	27	36	27	28	45	31	42	31	42	31	42
45	41	45	41	45	41	45	41	28	30	28	30	28	30	28	30	45	41	45	41	45	41	45	41	45	41	45	41	40	26	40	26	40	26	40	26	40	26	40	26	29	45	32	42	29	45	32	42	29	45	32	42	24	30	32	38	29	35	24	30	32	38	29	35	45	41	45	41	37	27	37	27	29	45	32	42	32	42	32	42
45	40	45	40	45	40	45	40	29	30	29	30	29	30	29	30	45	40	45	40	45	40	45	40	45	40	45	40	40	25	40	25	40	25	40	25	40	25	40	25	30	45	32	43	30	45	32	43	30	45	32	43	25	30	32	37	30	35	25	30	32	37	30	35	45	40	45	40	38	27	38	27	30	45	32	43	32	41	32	41
45	39	45	39	45	39	45	39	30	30	30	30	30	30	30	30	45	39	45	39	45	39	45	39	45	39	45	39	40	24	40	24	40	24	40	24	40	24	40	24	31	45	32	44	31	45	32	44	31	45	32	44	26	30	32	36	31	35	26	30	32	36	31	35	45	39	45	39	39	27	39	27	31	45	32	44	32	40	32	40
45	38	45	38	45	38	45	38	30	29	30	29	30	29	30	29	45	38	45	38	45	38	45	38	45	38	45	38	40	23	40	23	40	23	40	23	40	23	40	23	32	45	32	45	32	45	32	45	32	45	32	45	27	30	32	35	32	35	27	30	32	35	32	35	45	38	45	38	40	27	40	27	32	45	32	45	32	39	32	39
45	37	45	37	45	37	45	37	30	28	30	28	30	28	30	28	45	37	45	37	45	37	45	37	45	37	45	37	40	22	40	22	40	22	40	22	40	22	40	22	33	45	33	45	33	45	33	45	33	45	33	45	28	30	32	34	32	34	28	30	32	34	32	34	45	37	45	37	40	26	40	26	33	45	33	45	32	38	32	38
45	36	45	36	45	36	45	36	30	27	30	27	30	27	30	27	45	36	45	36	45	36	45	36	45	36	45	36	41	22	41	22	41	22	41	22	41	22	41	22	34	45	34	45	34	45	34	45	34	45	34	45	29	30	32	33	32	33	29	30	32	33	32	33	45	36	45	36	40	25	40	25	34	45	34	45	32	37	32	37
45	35	45	35	45	35	45	35	31	27	31	27	31	27	31	27	45	35	45	35	45	35	45	35	45	35	45	35	42	22	42	22	42	22	42	22	42	22	42	22	35	45	35	45	35	45	35	45	35	45	35	45	30	30	32	32	32	32	30	30	32	32	32	32	45	35	45	35	40	24	40	24	35	45	35	45	32	36	32	36
